t_s,h1_meas_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,ref_m,u1,u3,t_mhe_ms,t_mpc_ms,t_total_ms,error_ctrl_cm
0.0,0.0217,0.1,0.0159,8.41,0.019,0.1,0.7969413642289458,0.05730697129912197,4.2018890380859375,10.022640228271484,1281.3465595245361,0.0
2.0,0.0217,0.08892716887431712,0.0159,7.302716887431712,0.0188,0.1,0.9999874269621345,0.09027591614549975,4.055261611938477,9.433746337890625,1446.7241764068604,-1.1072831125682887
4.0,0.0191,0.07941288184536688,0.0161,6.331288184536687,0.0188,0.1,0.9999929987222788,0.10923509663026189,5.188941955566406,8.413314819335938,1613.0914688110352,-2.0587118154633126
6.0,0.0417,0.0740482007539618,0.0212,5.284820075396181,0.0188,0.1,0.999997144996476,0.1229729330694982,4.729032516479492,8.817911148071289,1766.1592960357666,-2.59517992460382
8.0,0.0419,0.07059733354386105,0.0268,4.379733354386104,0.0276,0.1,0.9999971283027929,0.12433354269310636,5.437612533569336,9.413719177246094,2129.2524337768555,-2.9402666456138955
10.0,0.0533,0.06933078710178862,0.0412,2.8130787101788624,0.0363,0.1,0.9999965484998202,0.11378312397757011,7.51495361328125,7.830142974853516,2118.1609630584717,-3.066921289821138
12.0,0.062,0.06998032010771857,0.0557,1.428032010771857,0.0508,0.1,0.9999947696952973,0.09445619152500477,4.642248153686523,8.30698013305664,2101.4137268066406,-3.0019679892281435
14.0,0.0734,0.072516738814394,0.0643,0.8216738814393998,0.0683,0.1,0.9999912220289187,0.07957980981439075,2.5196075439453125,10.877132415771484,2114.11714553833,-2.748326118560601
16.0,0.0706,0.07495002123654608,0.0788,-0.3849978763453915,0.074,0.1,0.9816564774444005,0.06101796354734188,5.1784515380859375,8.773088455200195,2107.5146198272705,-2.5049978763453926
18.0,0.0878,0.07898039843746131,0.0875,-0.8519601562538683,0.0829,0.1,0.8127573705918708,0.04635114999584683,7.643938064575195,8.044004440307617,2108.768939971924,-2.1019601562538694
20.0,0.0941,0.08344381457591334,0.1,-1.655618542408667,0.0922,0.1,0.5966921889750596,0.03301241756822372,6.645917892456055,8.281230926513672,2105.7472229003906,-1.655618542408667
22.0,0.1068,0.08872592485577042,0.1033,-1.457407514422958,0.105,0.1,0.3858210217121206,0.02188228666511424,28.139352798461914,7.073402404785156,2127.293586730957,-1.127407514422958
24.0,0.1196,0.0941350017649263,0.1065,-1.2364998235073699,0.1114,0.1,0.26032104674758727,0.01747755314746805,32.64188766479492,7.177591323852539,2116.5082454681396,-0.5864998235073706
26.0,0.1101,0.09777275778143495,0.1128,-1.5027242218565051,0.121,0.1,0.24568700668880522,0.01959688907997784,369.6620464324951,9.638786315917969,2448.004722595215,-0.22272422185650592
28.0,0.1006,0.09895716124968475,0.116,-1.704283875031526,0.1147,0.1,0.25963936654436975,0.021252578855295363,6.450653076171875,8.376359939575195,1742.445468902588,-0.10428387503152586
30.0,0.1068,0.09937345074550202,0.1097,-1.0326549254497983,0.105,0.1,0.2995895811026869,0.02400913867024563,49.134016036987305,9.286880493164062,2150.108575820923,-0.06265492544979823
