t_s,h1_meas_m,h1_est_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,h3_est_m,ref_m,u1,u3,z_int,error_ctrl_cm
0.0,0.0166,0.0166,0.0159,0.0159,0.0,0.0084,0.0084,0.1,0.999996548620563,0.11707880680028608,0.0,-8.41
2.0,0.0166,0.016539886495449053,0.015619110031087197,0.0081,0.7519110031087197,0.0162,0.01016857121386678,0.1,0.9999989911592386,0.37312939444627413,0.0,-8.438088996891281
4.0,0.0166,0.020605853182562462,0.015323804039650392,0.0081,0.7223804039650392,0.0162,0.011783185772307183,0.1,0.9999995340298797,0.7936879098054206,0.0,-8.467619596034961
6.0,0.0166,0.023321872924401684,0.015381685536462813,0.0081,0.7281685536462813,0.0162,0.013906042370323396,0.1,0.9999998420249256,0.9999969763755013,0.0,-8.46183144635372
8.0,0.0275,0.027533033472389657,0.016726619653990943,0.0081,0.8626619653990943,0.0162,0.017518754576951113,0.1,0.9999998618542425,0.9999985858287767,0.0,-8.327338034600906
10.0,0.0419,0.03352775561084232,0.01933562539266317,0.0241,-0.47643746073368287,0.0162,0.021618304363138535,0.1,0.9999996690548345,0.9999923544079061,0.0,-8.066437460733683
12.0,0.0504,0.04051817474499719,0.02371463924364278,0.0297,-0.5985360756357222,0.0363,0.029463254827417688,0.1,0.9999998265712454,0.9955586451771957,0.0,-7.628536075635722
14.0,0.0475,0.04593027810320533,0.02811853749853011,0.0528,-2.4681462501469893,0.0509,0.03879514329540892,0.1,0.9999993849605507,0.610490609408717,0.0,-7.18814625014699
16.0,0.0734,0.05570392158360484,0.03521836495285124,0.0728,-3.7581635047148767,0.0655,0.04993565208639326,0.1,0.9999985602769023,0.2833141975391396,0.0,-6.4781635047148765
18.0,0.0849,0.06635515382205595,0.04364809235668646,0.0938,-5.015190764331353,0.0829,0.05966753203071604,0.1,0.9999826923134773,0.07803689184367057,0.0,-5.635190764331355
20.0,0.1006,0.0785542477194985,0.053854596477199014,0.1033,-4.944540352280099,0.105,0.06931653331028455,0.1,0.291631027748643,0.004990509956536846,0.0,-4.614540352280099
22.0,0.1196,0.09216012090886758,0.06464868413214597,0.1128,-4.8151315867854025,0.1017,0.07509420891376936,0.1,5.257229758154661e-07,1.1893220493025966e-06,0.0,-3.535131586785403
24.0,0.1259,0.09779199563403451,0.0757703749437664,0.1256,-4.982962505623359,0.1179,0.08263698251254849,0.1,3.876083944235333e-08,9.065747492114977e-08,0.0,-2.4229625056233606
26.0,0.1419,0.10332179695320327,0.08732908780729376,0.1288,-4.1470912192706235,0.1306,0.09169840083891644,0.1,8.18235118225935e-08,1.805170783724873e-07,0.0,-1.2670912192706245
28.0,0.1291,0.10603923084695435,0.09485123947045782,0.1288,-3.3948760529542183,0.1274,0.09811038510383253,0.1,1.5418972648554855e-07,3.4814558806264946e-07,0.0,-0.514876052954219
30.0,0.1196,0.1069073480263437,0.09965347668756168,0.1318,-3.214652331243832,0.1306,0.10363214191584078,0.1,4.2489952425349226e-07,1.0238270142537029e-06,0.0,-0.03465233124383266
32.0,0.1228,0.1085300141393689,0.10329659886381887,0.1256,-2.2303401136181122,0.1242,0.10670969899489022,0.1,6.568618610300733e-07,1.6434011559539085e-06,0.0,0.32965988638188615
34.0,0.1291,0.11129210469887783,0.1071015736255606,0.1193,-1.2198426374439408,0.1274,0.10996559088434818,0.1,2.096311656084684e-07,5.173804635329573e-07,0.0,0.7101573625560589
36.0,0.1196,0.11153650001123136,0.10844790436679348,0.1223,-1.3852095633206525,0.121,0.11087057067916298,0.1,5.759201056584982e-07,1.4322905404175142e-06,0.0,0.8447904366793477
38.0,0.1133,0.11045169456850765,0.10819711579628892,0.116,-0.7802884203711086,0.1147,0.11006004554207753,0.1,5.293831154574474e-07,1.310335139157746e-06,0.0,0.8197115796288914
40.0,0.1164,0.11041003136018915,0.10856199270986387,0.1193,-1.0738007290136131,0.1177,0.11025309920539375,0.1,1.047517472429446e-06,2.74551811916017e-06,0.0,0.8561992709863866
42.0,0.1101,0.1089567660686486,0.10736375855203656,0.1128,-0.5436241447963439,0.1082,0.10815238570927561,0.1,8.941122954946197e-07,2.3097112938105325e-06,0.0,0.7363758552036553
44.0,0.1164,0.10930080315850838,0.10768192452913945,0.116,-0.8318075470860553,0.1147,0.10825037175675747,0.1,2.593317377388202e-06,7.5965353916838175e-06,0.0,0.7681924529139448
46.0,0.1068,0.10740060152820317,0.10600780235496961,0.1096,-0.35921976450303955,0.105,0.10592653778638635,0.1,6.135122528058147e-06,4.436874553619813e-05,0.0,0.6007802354969602
48.0,0.1006,0.1047885018745465,0.10424000918233788,0.1128,-0.8559990817662122,0.1114,0.10548931354165003,0.1,0.08124349363766736,0.01357265618146297,0.0,0.424000918233787
50.0,0.1038,0.10338078538380287,0.10262051789593804,0.1065,-0.3879482104061957,0.1017,0.10309370158637303,0.1,0.2912524404597797,0.02586211664079001,0.0,0.2620517895938035
52.0,0.0973,0.10181948868799814,0.10086486570351746,0.1096,-0.8735134296482538,0.1082,0.10272657551564786,0.1,0.6828055612358047,0.046314831565702874,0.0,0.0864865703517459
54.0,0.088,0.10039205865043373,0.09751316985541007,0.1033,-0.578683014458993,0.0985,0.10006751311743835,0.1,0.7370483075973486,0.041767128528006195,0.0,-0.24868301445899327
56.0,0.0941,0.10430607183942765,0.09619571994306578,0.1065,-1.030428005693422,0.105,0.09978464633744565,0.1,0.39953566765740456,0.018898978073132105,0.0,-0.38042800569342283
58.0,0.1131,0.11120145732982513,0.09786948950110207,0.1097,-1.183051049889794,0.1017,0.09922465597509599,0.1,8.415784226089173e-06,2.2222149024164623e-05,0.0,-0.2130510498897939
60.0,0.1164,0.1134884901191476,0.10134687371669358,0.1193,-1.795312628330642,0.121,0.10292291415222478,0.1,1.9664870205205607e-06,6.262143181563429e-06,0.0,0.1346873716693578
62.0,0.1131,0.11038321812091409,0.10316587995800613,0.1128,-0.9634120041993863,0.1114,0.10357688434228657,0.1,2.537453973469754e-06,8.874798669196714e-06,-0.006331759916012258,0.3165879958006129
64.0,0.1038,0.10671268643572832,0.10320199599955758,0.1063,-0.30980040004424253,0.1145,0.10462810707405226,0.1,5.9928437478031905e-06,5.353676211042964e-05,-0.012735751915127408,0.3201995999557575
66.0,0.0973,0.10303952800141003,0.10248583542163035,0.1096,-0.711416457836965,0.121,0.10667883463582971,0.1,6.541348342589777e-06,2.524185682974983e-05,-0.015,0.24858354216303474
68.0,0.1131,0.10365438746048229,0.10328291073456641,0.116,-1.2717089265433592,0.1113,0.10655270867708319,0.1,0.11687202820717414,0.016249077175052768,-0.015,0.32829107345664077
70.0,0.0941,0.10009346082565156,0.10089058931840483,0.1065,-0.5609410681595164,0.105,0.10455975141800669,0.1,0.2889328081926913,0.025502665130353305,-0.015,0.08905893184048275
72.0,0.0973,0.09938609438322418,0.09952866551247994,0.1002,-0.06713344875200616,0.108,0.10399424441247666,0.1,0.6191098436015692,0.04266781728439483,-0.01405733102495986,-0.04713344875200698
74.0,0.091,0.09893471659176611,0.0971791727638298,0.1033,-0.6120827236170203,0.1017,0.10200833247712136,0.1,0.49118158860546535,0.02786875645453711,-0.008415676552619447,-0.28208272361702064
76.0,0.107,0.10501311046186365,0.09775823513133074,0.1128,-1.504176486866926,0.105,0.10176861585503758,0.1,0.08251602416041033,0.004663502543131677,-0.00393214681528091,-0.22417648686692687
78.0,0.1196,0.11039723071987505,0.10031047014445023,0.116,-1.5689529855549778,0.105,0.10175955542859219,0.1,3.2167679497336313e-06,1.1255876302096485e-05,-0.004553087104181355,0.03104701444502228
80.0,0.1101,0.10841219481760174,0.1024532382557,0.1096,-0.7146761744299999,0.121,0.10488860326748606,0.1,8.026607026027885e-06,0.00015080934299622714,-0.009459563615581354,0.24532382556999993
82.0,0.1006,0.10436161857237138,0.1020045972021096,0.116,-1.399540279789041,0.1113,0.10494592258704477,0.1,0.20390476340384048,0.02181306894356114,-0.013468758019800534,0.20045972021095898
84.0,0.0941,0.10021860372294346,0.100086759974708,0.1065,-0.6413240025291991,0.105,0.10347622121844041,0.1,0.3601392172610992,0.02836071662787167,-0.013642277969216535,0.008675997470800056
86.0,0.0973,0.10003598541696082,0.09899203081052332,0.1128,-1.3807969189476674,0.108,0.10333726061704494,0.1,0.390764139326246,0.02695311250450093,-0.011626339590263171,-0.10079691894766818
88.0,0.1036,0.10249597840271792,0.09861095026340788,0.1033,-0.46890497365921213,0.1017,0.10199434683206035,0.1,0.5671716079864465,0.03703405395317446,-0.008848240117078923,-0.1389049736592124
90.0,0.0941,0.10237560046748315,0.09741003765301755,0.097,0.04100376530175448,0.1048,0.10138511269082705,0.1,0.4702369415349205,0.027381481143471192,-0.0036683154231140075,-0.2589962346982458
92.0,0.1038,0.10598790901233553,0.09803369557937916,0.1096,-1.1566304420620843,0.1082,0.10198728768504381,0.1,0.07401733812954986,0.004637399781313729,0.00026429341812768403,-0.19663044206208458
94.0,0.1164,0.11009887101699463,0.10065634147072926,0.1097,-0.9043658529270748,0.1114,0.10337832739652074,0.1,1.5307993123136646e-05,0.00015196612259849073,-0.00104838952333082,0.0656341470729252
96.0,0.1068,0.1071875088286116,0.10212006441483122,0.1096,-0.7479935585168782,0.1177,0.1054456903252207,0.1,0.09986550740850855,0.01522003555234107,-0.005288518352993252,0.2120064414831216
98.0,0.0973,0.10256472801332359,0.10108357720792534,0.1128,-1.1716422792074659,0.108,0.1046727370288003,0.1,0.4863251246958038,0.03826566899105436,-0.007455672768843916,0.1083577207925332
